Date, Open, High, Low, Close, Volume
07/11/24, 108.60, 108.60, 105.50, 105.80, 150801
07/10/24, 108.50, 110.40, 108.10, 108.60, 241651
07/09/24, 108.50, 109.60, 107.10, 108.40, 209470
07/08/24, 110.20, 110.50, 107.60, 108.50, 228513
07/04/24, 107.50, 111.50, 107.50, 109.40, 452117
07/03/24, 101.50, 107.00, 101.50, 106.60, 361748
07/02/24, 100.10, 103.60, 100.10, 102.30, 142084
06/27/24, 101.40, 103.10, 101.30, 101.70, 284505
06/26/24, 100.10, 101.80, 100.10, 101.40, 177160
06/25/24, 100.70, 102.90, 99.70, 100.10, 60713
06/24/24, 100.20, 102.00, 99.20, 100.50, 97410
06/20/24, 98.50, 103.30, 98.50, 102.30, 83303
06/19/24, 103.70, 103.70, 99.40, 100.00, 32767
06/13/24, 99.70, 101.60, 96.90, 100.60, 123379
06/12/24, 92.20, 99.50, 92.10, 98.60, 155693
06/11/24, 97.50, 97.50, 94.80, 94.90, 185969
06/10/24, 101.00, 101.00, 97.70, 97.70, 196664
06/06/24, 103.10, 104.50, 101.00, 103.60, 148364
06/05/24, 104.00, 104.50, 102.80, 103.70, 39515
06/04/24, 104.50, 104.50, 103.10, 104.00, 147015
06/03/24, 104.90, 104.90, 103.00, 103.80, 47263
05/30/24, 103.90, 104.50, 102.00, 103.70, 53904
05/29/24, 101.60, 104.50, 101.60, 102.80, 75027
05/28/24, 106.30, 106.80, 103.80, 104.40, 123654
05/27/24, 103.50, 106.70, 101.00, 106.30, 283914
05/23/24, 105.10, 105.40, 102.70, 103.10, 92951
05/21/24, 107.00, 109.60, 103.80, 105.10, 118609
05/20/24, 105.00, 109.00, 103.10, 106.70, 112685
05/16/24, 110.00, 110.00, 107.60, 108.30, 93108
05/15/24, 106.10, 109.90, 106.10, 108.30, 273547
05/14/24, 113.00, 113.00, 108.40, 108.80, 241282
05/13/24, 114.20, 115.30, 111.20, 111.70, 121088
05/09/24, 118.00, 120.20, 115.50, 116.20, 303425
05/08/24, 121.50, 121.50, 116.80, 118.10, 287964
05/07/24, 115.90, 122.20, 115.90, 120.10, 1399072
05/06/24, 115.00, 116.60, 113.00, 115.50, 182072
05/02/24, 108.90, 108.90, 106.20, 107.40, 140927
04/30/24, 105.80, 108.90, 105.60, 107.70, 232562
04/29/24, 109.70, 109.70, 105.00, 105.60, 98881
04/25/24, 110.50, 111.00, 106.80, 107.20, 217824
04/24/24, 111.60, 112.30, 109.00, 110.10, 321088
