Date, Open, High, Low, Close, Volume
04/25/24, 115.60, 115.60, 115.60, 115.60, 26
04/24/24, 115.60, 115.60, 115.60, 115.60, 4
04/23/24, 115.60, 115.60, 115.60, 115.60, 1
04/22/24, 115.60, 115.60, 115.60, 115.60, 4
04/18/24, 115.60, 115.60, 115.60, 115.60, 43
04/17/24, 115.60, 115.60, 115.60, 115.60, 10
04/16/24, 115.60, 115.60, 115.60, 115.60, 36
04/15/24, 115.60, 115.60, 115.60, 115.60, 12
04/09/24, 115.60, 115.60, 115.60, 115.60, 1150
04/04/24, 115.60, 115.60, 115.60, 115.60, 136
04/03/24, 115.60, 115.60, 115.60, 115.60, 154
04/01/24, 115.60, 115.60, 115.60, 115.60, 41
03/28/24, 115.60, 115.60, 115.60, 115.60, 62
03/27/24, 115.60, 115.60, 115.60, 115.60, 1
03/25/24, 115.60, 115.60, 115.60, 115.60, 23
03/21/24, 115.60, 115.60, 115.60, 115.60, 21
03/19/24, 115.60, 115.60, 115.60, 115.60, 5
03/18/24, 115.60, 115.60, 115.60, 115.60, 5
03/14/24, 115.60, 115.60, 115.60, 115.60, 1
03/13/24, 115.60, 115.60, 115.60, 115.60, 169
03/12/24, 115.60, 115.60, 115.60, 115.60, 8
03/11/24, 115.60, 115.60, 115.60, 115.60, 75
03/07/24, 115.60, 115.60, 115.60, 115.60, 113
03/06/24, 115.60, 115.60, 115.60, 115.60, 1
03/05/24, 115.60, 115.60, 115.60, 115.60, 4994
03/04/24, 115.60, 115.60, 115.60, 115.60, 151
02/29/24, 115.60, 115.60, 115.60, 115.60, 451
02/28/24, 115.60, 115.60, 115.60, 115.60, 1
02/27/24, 115.60, 115.60, 115.60, 115.60, 106
02/22/24, 115.60, 115.60, 115.60, 115.60, 1
02/20/24, 115.60, 115.60, 115.60, 115.60, 86
02/19/24, 115.60, 115.60, 115.60, 115.60, 10
02/15/24, 115.60, 115.60, 115.60, 115.60, 5
02/14/24, 115.60, 115.60, 115.60, 115.60, 86
02/13/24, 115.60, 115.60, 115.60, 115.60, 8
02/12/24, 115.60, 115.60, 115.60, 115.60, 1020
02/08/24, 115.60, 115.60, 115.60, 115.60, 131
02/07/24, 115.60, 115.60, 115.60, 115.60, 1462
02/06/24, 115.60, 115.60, 115.60, 115.60, 72
02/05/24, 115.60, 115.60, 115.60, 115.60, 663
02/01/24, 115.60, 115.60, 115.60, 115.60, 1507
01/31/24, 115.60, 115.60, 115.60, 115.60, 41
01/30/24, 115.60, 115.60, 115.60, 115.60, 20
01/29/24, 115.60, 115.60, 115.60, 115.60, 13821
01/25/24, 115.60, 115.60, 115.60, 115.60, 1
01/24/24, 115.60, 115.60, 115.60, 115.60, 1391
01/23/24, 115.60, 115.60, 115.60, 115.60, 1039
01/22/24, 115.60, 115.60, 115.60, 115.60, 182
01/18/24, 115.60, 115.60, 115.60, 115.60, 16
01/17/24, 115.60, 115.60, 115.60, 115.60, 22
01/16/24, 115.60, 115.60, 115.60, 115.60, 752
01/15/24, 115.60, 115.60, 115.60, 115.60, 30
01/11/24, 115.60, 115.60, 115.60, 115.60, 101
01/08/24, 115.60, 115.60, 115.60, 115.60, 46
01/04/24, 115.60, 115.60, 115.60, 115.60, 69
01/03/24, 115.60, 115.60, 115.60, 115.60, 4004
01/02/24, 115.60, 115.60, 115.60, 115.60, 205
01/01/24, 115.60, 115.60, 115.60, 115.60, 17
12/28/23, 115.60, 115.60, 115.60, 115.60, 48
12/27/23, 115.60, 115.60, 115.60, 115.60, 750
12/26/23, 115.60, 115.60, 115.60, 115.60, 22
12/21/23, 115.60, 115.60, 115.60, 115.60, 40
12/20/23, 115.60, 115.60, 115.60, 115.60, 18
12/19/23, 115.60, 115.60, 115.60, 115.60, 214
12/14/23, 115.60, 115.60, 115.60, 115.60, 11
12/13/23, 115.60, 115.60, 115.60, 115.60, 234
12/12/23, 115.60, 115.60, 115.60, 115.60, 13011
12/11/23, 115.60, 115.60, 115.60, 115.60, 59
12/07/23, 115.60, 115.60, 115.60, 115.60, 353
12/06/23, 115.60, 115.60, 115.60, 115.60, 14
12/05/23, 115.60, 115.60, 115.60, 115.60, 1
12/04/23, 115.60, 115.60, 115.60, 115.60, 1
11/30/23, 115.60, 115.60, 115.60, 115.60, 126
11/28/23, 115.60, 115.60, 115.60, 115.60, 9
11/27/23, 115.60, 115.60, 115.60, 115.60, 250
11/23/23, 115.60, 115.60, 115.60, 115.60, 101
11/22/23, 115.60, 115.60, 115.60, 115.60, 56
11/21/23, 115.60, 115.60, 115.60, 115.60, 40
11/20/23, 115.60, 115.60, 115.60, 115.60, 6
11/14/23, 115.60, 115.60, 115.60, 115.60, 9
11/09/23, 115.60, 115.60, 115.60, 115.60, 21
11/08/23, 115.60, 115.60, 115.60, 115.60, 12
11/07/23, 115.60, 115.60, 115.60, 115.60, 9
11/06/23, 115.60, 115.60, 115.60, 115.60, 2
11/02/23, 115.60, 115.60, 115.60, 115.60, 30
11/01/23, 115.60, 115.60, 115.60, 115.60, 50
10/31/23, 115.60, 115.60, 115.60, 115.60, 9
10/30/23, 115.60, 115.60, 115.60, 115.60, 65
10/26/23, 115.60, 115.60, 115.60, 115.60, 416
10/25/23, 115.60, 115.60, 115.60, 115.60, 63
10/23/23, 115.60, 115.60, 115.60, 115.60, 10
10/19/23, 115.60, 115.60, 115.60, 115.60, 716
10/17/23, 115.60, 115.60, 115.60, 115.60, 192
10/16/23, 115.60, 115.60, 115.60, 115.60, 20
10/12/23, 115.60, 115.60, 115.60, 115.60, 40
10/11/23, 115.60, 115.60, 115.60, 115.60, 105
10/10/23, 115.60, 115.60, 115.60, 115.60, 1
10/09/23, 115.60, 115.60, 115.60, 115.60, 6
10/05/23, 115.60, 115.60, 115.60, 115.60, 839
10/04/23, 115.60, 115.60, 115.60, 115.60, 1358
10/03/23, 115.60, 115.60, 115.60, 115.60, 323
10/02/23, 115.60, 115.60, 115.60, 115.60, 1
09/27/23, 115.60, 115.60, 115.60, 115.60, 122
09/26/23, 115.60, 115.60, 115.60, 115.60, 10
09/25/23, 115.60, 115.60, 115.60, 115.60, 76
