Date, Open, High, Low, Close, Volume
07/11/24, 247.00, 248.50, 242.90, 243.50, 91363
07/10/24, 250.00, 250.00, 241.40, 244.70, 109017
07/09/24, 248.80, 248.80, 242.60, 245.10, 233433
07/08/24, 251.00, 253.20, 247.00, 248.80, 181626
07/04/24, 240.20, 246.10, 240.20, 245.60, 101847
07/03/24, 239.90, 243.70, 239.10, 240.20, 75290
07/02/24, 247.60, 247.60, 240.30, 244.00, 162555
06/27/24, 236.20, 242.00, 236.00, 241.40, 114798
06/26/24, 229.90, 237.00, 228.40, 236.20, 199823
06/25/24, 228.20, 229.50, 226.50, 228.70, 114191
06/24/24, 228.90, 228.90, 225.10, 228.20, 116913
06/20/24, 223.90, 225.40, 221.00, 224.90, 109330
06/19/24, 224.00, 225.00, 221.80, 222.20, 140713
06/13/24, 226.70, 226.70, 223.60, 224.10, 116386
06/12/24, 222.00, 225.70, 222.00, 223.00, 209975
06/11/24, 225.40, 228.40, 222.90, 223.50, 208285
06/10/24, 230.00, 230.00, 223.50, 225.40, 123661
06/06/24, 225.00, 229.90, 225.00, 227.60, 78816
06/05/24, 225.10, 230.00, 225.00, 226.20, 62156
06/04/24, 228.00, 233.50, 225.50, 227.50, 64724
06/03/24, 227.90, 228.00, 224.20, 225.70, 45141
05/30/24, 228.00, 229.00, 222.20, 223.50, 113546
05/29/24, 229.00, 230.00, 226.30, 227.70, 38541
05/28/24, 232.00, 236.00, 224.70, 225.50, 108419
05/27/24, 226.00, 229.70, 225.00, 229.30, 38189
05/23/24, 231.80, 231.80, 224.00, 224.90, 81866
05/21/24, 224.50, 230.00, 224.50, 225.30, 76248
05/20/24, 224.90, 228.00, 224.00, 224.40, 122031
05/16/24, 233.60, 236.00, 231.70, 232.30, 74534
05/15/24, 238.50, 238.50, 233.00, 233.60, 52674
05/14/24, 239.00, 239.00, 236.50, 237.00, 37882
05/13/24, 237.20, 239.50, 237.10, 238.60, 55522
05/09/24, 239.90, 239.90, 236.00, 237.40, 228077
05/08/24, 239.50, 240.90, 238.40, 238.70, 137311
05/07/24, 241.80, 241.80, 239.00, 239.50, 462408
05/06/24, 241.90, 241.90, 238.50, 239.70, 270193
05/02/24, 236.00, 239.00, 236.00, 237.60, 189769
04/30/24, 239.00, 239.00, 235.20, 235.80, 100191
04/29/24, 244.00, 244.00, 235.70, 236.50, 97374
04/25/24, 232.50, 238.50, 229.80, 235.00, 198599
04/24/24, 232.50, 233.70, 231.70, 232.50, 73774
04/23/24, 233.60, 234.00, 232.50, 232.60, 36698
04/22/24, 237.40, 237.40, 232.20, 233.10, 88723
04/18/24, 236.10, 237.70, 234.00, 234.70, 57608
04/17/24, 236.10, 238.90, 236.00, 236.90, 39710
04/16/24, 238.50, 240.00, 233.60, 236.10, 75037
04/15/24, 241.00, 241.00, 238.50, 238.90, 34671
04/09/24, 241.00, 241.50, 239.50, 240.00, 83564
