Date, Open, High, Low, Close, Volume
07/11/24, 24.40, 24.60, 23.80, 23.90, 1693644
07/10/24, 25.00, 25.20, 24.40, 24.50, 1762935
07/09/24, 24.40, 25.20, 24.20, 24.90, 1916986
07/08/24, 24.40, 24.70, 24.20, 24.30, 1663407
07/04/24, 23.20, 24.60, 23.10, 24.20, 2116561
07/03/24, 23.50, 23.80, 22.90, 23.10, 1542242
07/02/24, 23.30, 23.70, 23.20, 23.50, 1123260
06/27/24, 23.80, 24.10, 23.20, 23.40, 1863790
06/26/24, 21.50, 23.40, 21.50, 23.40, 3776033
06/25/24, 21.00, 21.50, 21.00, 21.30, 908623
06/24/24, 21.10, 21.30, 20.90, 21.20, 449366
06/20/24, 20.40, 21.40, 20.40, 21.30, 965706
06/19/24, 20.40, 20.70, 20.30, 20.50, 369673
06/13/24, 21.00, 21.00, 20.40, 20.50, 615827
06/12/24, 20.70, 21.00, 20.60, 20.70, 770585
06/11/24, 20.70, 20.80, 20.30, 20.70, 1031842
06/10/24, 21.10, 21.10, 20.50, 20.60, 1052418
06/06/24, 21.40, 21.90, 21.20, 21.70, 927549
06/05/24, 21.90, 22.00, 21.60, 21.70, 565581
06/04/24, 22.10, 22.50, 21.90, 22.00, 1185559
06/03/24, 22.00, 22.20, 21.70, 22.10, 756757
05/30/24, 22.10, 22.40, 21.90, 22.30, 800577
05/29/24, 22.30, 22.40, 21.90, 22.10, 942640
05/28/24, 22.50, 23.10, 22.10, 22.30, 1435450
05/27/24, 21.50, 22.60, 21.20, 22.50, 1669894
05/23/24, 22.30, 22.40, 21.90, 22.00, 776969
05/21/24, 22.30, 22.90, 22.10, 22.30, 1533400
05/20/24, 22.20, 22.70, 22.10, 22.20, 1204872
05/16/24, 23.50, 23.80, 22.90, 23.30, 962860
05/15/24, 24.10, 24.10, 23.40, 23.50, 828111
05/14/24, 24.40, 24.50, 23.80, 23.90, 1555189
05/13/24, 24.80, 24.90, 24.30, 24.40, 1195567
05/09/24, 24.90, 25.10, 24.60, 24.70, 1160018
05/08/24, 25.00, 25.50, 24.70, 24.90, 1728238
05/07/24, 25.30, 25.60, 25.00, 25.10, 1540270
05/06/24, 25.30, 25.60, 25.10, 25.30, 1530125
05/02/24, 24.50, 25.10, 24.40, 25.00, 1041014
04/30/24, 24.90, 25.10, 24.30, 24.50, 1789931
04/29/24, 25.50, 25.50, 24.80, 24.80, 1490691
04/25/24, 25.50, 25.60, 24.70, 24.90, 2598189
04/24/24, 26.50, 26.60, 25.30, 25.40, 2231057
04/23/24, 27.00, 27.60, 26.20, 26.30, 5968744
04/22/24, 27.00, 27.30, 26.00, 26.40, 2460928
04/18/24, 25.90, 26.10, 25.30, 25.40, 1229616
04/17/24, 26.50, 26.60, 25.60, 25.90, 1247950
04/16/24, 26.20, 26.50, 26.10, 26.30, 1237508
04/15/24, 27.00, 27.00, 26.30, 26.30, 888298
04/09/24, 27.10, 27.20, 26.80, 26.80, 934704
04/08/24, 26.90, 27.20, 26.80, 26.90, 1050985
04/04/24, 27.10, 27.30, 26.50, 26.90, 1243662
04/03/24, 27.30, 27.70, 27.00, 27.10, 2322065
04/02/24, 26.50, 27.20, 26.30, 27.00, 2302593
04/01/24, 27.60, 27.80, 26.60, 26.70, 1988885
03/28/24, 26.80, 27.60, 26.60, 27.40, 2884675
03/27/24, 27.20, 27.20, 26.50, 26.60, 2751271
03/25/24, 27.40, 27.40, 26.50, 26.70, 2149882
03/21/24, 26.60, 28.90, 26.60, 28.70, 4964586
03/20/24, 24.50, 26.90, 24.50, 26.60, 3978322
03/19/24, 27.00, 27.00, 27.00, 27.00, 760777
03/14/24, 30.00, 30.00, 30.00, 30.00, 12749
03/13/24, 30.00, 30.00, 30.00, 30.00, 4602
03/12/24, 30.00, 30.00, 30.00, 30.00, 68848
03/11/24, 30.00, 30.00, 30.00, 30.00, 8750
03/07/24, 30.00, 30.00, 30.00, 30.00, 10870
03/06/24, 30.00, 30.00, 30.00, 30.00, 67046
